Check Item,GCMNA Code,Sorting Nature of Info Produced,Features,Selected Item,GCMNA Scope,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG.,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Document Number,Start Date,3D Model In Library,End Date,Duration,Predecessors,Material / Color,Size
,,Spec Item,"LOCKER, DIVE",TRUE,,,,,,,Utility Room,Furniture Assembly,N/A,Each,,,,Guess,100,1,100.0,74.07%,105.50,6.00,9.19,10550,600,919,,,,,,,,
,,Spec Heading,Floor & Wall Coverings,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Heading,Window Coverings,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Heading,Miscellaneous Electronics & Accessories,TRUE,,,,,,,,,,,,,,SubItems,,,20.0,3.60%,100.00,6.00,10.40,2000,120,208,,,,,,,,
,,Spec Item,MISC ELECTRONICS AND ACCESSORIES,TRUE,,,,,,,Utility Room,Miscellaneous Electronics / Accessories,TBD,Each,,,,Solidworks,20,1,20.0,100.00%,100.00,6.00,10.40,2000,120,208,,,,,,,,
,,Spec Heading,Miscellaneous Finish Joinerwork Casings / Trim etc,TRUE,,,,,,,,,,,,,,SubItems,,,65.0,11.69%,107.40,-5.12,9.55,6981,-333,621,,,,,,,,
,,Spec Item,HVAC SHELF,TRUE,,,,,,,Utility Room,Foundations,N/A,Each,,,,Guess,15,1,15.0,23.08%,108.75,-9.50,12.55,1631,-143,188,,,,,,,,
,,Spec Item,"BUSTLE UTILITY PANEL, PORT SIDE",TRUE,,,,,,,Lazarette,TBD,,Each,,,,Guess,20,1,20.0,30.77%,107.00,-9.50,11.63,2140,-190,233,,,,,,,,
,,Spec Item,"BUSTLE STAIRS, BLOCK MODEL",TRUE,,,,,,,Lazarette,TBD,,Each,,,,Guess,30,1,30.0,46.15%,107.00,0.00,6.67,3210,0,200,,,,,,,,
,,Spec Heading,Lighting,,,,,,,,,,TBD,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Heading,Appliances,TRUE,,,,,,,,,,,,,,SubItems,,,336.0,60.43%,101.84,3.00,8.33,34220,1008,2799,,,,,,,,
,,Spec Item,"ICE MAKER, MANITOWOC QM 45",TRUE,,,,,,220350,Utility Room,Appliances,TBD,Each,,,,Amazon,114,1,114.0,33.93%,103.00,3.00,7.40,11742,342,844,,,,,,,,
,,Spec Item,"FREEZER, F1051, WITH GRILL_3D_29016-0",TRUE,,,,WP 3800,Sideways,102315.118-01,Utility Room,Appliances,TBD,Each,,,,Manufacturer,222,1,222.0,66.07%,101.25,3.00,8.81,22478,666,1955,,,No,,,,,
,,Spec Heading,Insulation,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Heading,Decorator Outfit Fixed,,,,,,Down,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Heading,Provisioning,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,700,Heading,Exterior Outfitting,TRUE,,,Updated,,Down,,,,,,,,,SubItems,,,7994.6,3.10%,73.10,-0.59,19.99,584407,-4682,159811,,11/12/17,,,,,,
,701,Heading,Exterior Outfit Typical Details/Standards,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,11/12/17,,,,,,
,,Drawings / Deliverables,Typical Exterior Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,4383-700-01,11/12/17,,,,,,
,702,Heading,Exterior Decks,TRUE,,,,,,,,,,,,,,SubItems,,,5576.7,69.76%,71.62,-0.81,20.47,399378,-4519,114178,,11/12/17,,,,,,
TRUE,,Spec Heading,Flybridge,TRUE,,,,,,,,,,,,,,,,,2792.0,50.07%,78.05,0.21,25.81,217913,596,72059,,,,,,,,
TRUE,,Spec Heading,Flybridge Systems Rough In,TRUE,,,,,,,,,,,,,,SubItems,,,690.0,24.71%,73.37,0.00,27.31,50627,0,18842,,,,,,,,
,,Spec Heading,FRP Sub Assemblies & Associated Hardware,TRUE,,,Updated,,,,,,,,,,,SubItems,,,690.0,100.00%,73.37,0.00,27.31,50627,0,18842,,,,,,,,
,,Spec Item,"Settee, Flybridge Port Side",TRUE,,,Updated,,,,Flybridge,TBD,,Each,Westport Shipyards,,,Guess,80,1,80.0,11.59%,70.50,-7.50,27.50,5640,-600,2200,,,,,,,,
,,Spec Item,"Settee, Flybridge Starboard Side",TRUE,,,Updated,,,,Flybridge,TBD,,Each,Westport Shipyards,,,Guess,80,1,80.0,11.59%,70.50,7.50,27.50,5640,600,2200,,,,,,,,
,,Spec Item,"Cabinet, Center Bar",TRUE,,,Updated,,,,Flybridge,TBD,,Each,Westport Shipyards,,,Guess,60,1,60.0,8.70%,74.75,0.00,28.20,4485,0,1692,,,,,,,,
,,Spec Item,"Cabinet, Flybridge Port Side",TRUE,,,Updated,,,,Flybridge,TBD,,Each,Westport Shipyards,,,Guess,80,1,80.0,11.59%,81.20,-7.25,27.50,6496,-580,2200,,,,,,,,
,,Spec Item,"Cabinet, Flybridge Starboard Side",TRUE,,,Updated,,,,Flybridge,TBD,,Each,Westport Shipyards,,,Guess,80,1,80.0,11.59%,81.20,7.25,27.50,6496,580,2200,,,,,,,,
,,Spec Item,"Stairs, Flybridge - Port",TRUE,,,Updated,,,,Flybridge,Stair Assembly,,Each,Westport Shipyards,,,Guess,50,1,50.0,7.25%,85.30,-4.90,24.00,4265,-245,1200,,,,,,,,
,,Spec Item,"Stairs, Flybridge - Stbd",TRUE,,,Updated,,,,Flybridge,Stair Assembly,,Each,Westport Shipyards,,,Guess,50,1,50.0,7.25%,85.30,4.90,24.00,4265,245,1200,,,,,,,,
,,Spec Item,"Stair Hinge, Flybridge",TRUE,,,Updated,,,,Flybridge,TBD,,Each,TBD,,,Guess,5,2,10.0,1.45%,84.00,0.00,25.00,840,0,250,,,,,,,,
,,Spec Item,Flybridge Console with Components,TRUE,,,Updated,,Sideways,,Flybridge,TBD,,Each,Westport Shipyards,,,Guess,200,1,200.0,28.99%,62.50,0.00,28.50,12500,0,5700,,,,,,,,
TRUE,,Spec Heading,Flybridge Finish,TRUE,,,Updated,,,,,,,,,,,SubItems,,,2102.0,75.29%,79.58,0.28,25.32,167286,596,53217,,,,,,,,
,,Spec Heading,Appliances,TRUE,,,Updated,,,,,,,,,,,SubItems,,,175.0,8.33%,80.19,7.43,27.57,14033,1300,4825,,,,,,,,
,,Spec Item,"Barbeque, Boat Deck",TRUE,,Greg,Updated,WP 3800,Sideways,236112,Boat Deck,Appliances,,Each,TBD,500256-02,,Guess,75,1,75.0,42.86%,81.90,7.45,28.00,6143,559,2100,,,No,,,,,
,,Spec Item,Sink,TRUE,,,Updated,WP 3800,Sideways,NA,Boat Deck,Plumbing Fixtures,,Each,,,,Guess,25,1,25.0,14.29%,77.40,7.30,28.00,1935,183,700,,,No,,,,,
,,Spec Item,Refridgerator,TRUE,,,Updated,WP 3800,Sideways,NA,Boat Deck,Appliances,,Each,,,,Guess,75,1,75.0,42.86%,79.40,7.45,27.00,5955,559,2025,,,No,,,,,
,,Spec Heading,Deck Coverings,TRUE,,,Updated,,,,,,,,,,,SubItems,,,1164.0,55.38%,87.30,-0.60,23.15,101613,-704,26944,,,,,,,,
,,Spec Item,Teak - Flybridge,TRUE,,,Updated,,,NA,Fltbridge,Exterior Decking,,SF,,,,Guess,2,202,404.0,34.71%,71.71,0.00,25.90,28971,0,10464,,,,,,,,
,,Spec Item,Teak - Boat Deck,TRUE,,,Updated,,,NA,Fltbridge,Exterior Decking,,SF,,,,Guess,2,352,704.0,60.48%,96.40,-1.00,21.50,67866,-704,15136,,,,,,,,
,,Spec Item,Teak - Stairs from BD to FB,TRUE,,,Updated,,,NA,Fltbridge,Exterior Decking,,SF,,,,Guess,2,28,56.0,4.81%,85.30,0.00,24.00,4777,0,1344,,,,,,,,
,,Spec Heading,Control Stations,TRUE,,,Updated,,,,,,,,,,,SubItems,,,80.0,3.81%,62.50,0.00,28.69,5000,0,2295,,,,,,,,
,,Spec Item,Wing station Port,TRUE,,,Updated,,,NA,Flybridge,TBD,TBD,Each,,,,Guess,15,1,15.0,18.75%,62.50,-8.00,29.00,938,-120,435,,,,,,,,
,,Spec Item,Wing Station Starboard,TRUE,,,Updated,,,NA,Flybridge,TBD,TBD,Each,,,,Guess,15,1,15.0,18.75%,62.50,8.00,29.00,938,120,435,,,,,,,,
,,Spec Item,Helm Station,TRUE,,,Updated,,,NA,Flybridge,TBD,TBD,Each,,,,Guess,50,1,50.0,62.50%,62.50,0.00,28.50,3125,0,1425,,,,,,,,
,,Spec Heading,Miscellaneous Electronics & Accessories,TRUE,,,Updated,,,,,,,,,,,SubItems,,,50.0,2.38%,62.50,0.00,28.50,3125,0,1425,,,,,,,,
,,Spec Item,Miscellaneous Electronic & Accessories,TRUE,,,Updated,,,NA,Flybridge,Miscellaneous Electronics / Accessories,TBD,Each,,,,Guess,50,1,50.0,100.00%,62.50,0.00,28.50,3125,0,1425,,,,,,,,
,,Spec Heading,Upholstery Work,TRUE,,,Updated,,,,,,,,,,,SubItems,,,225.0,10.70%,70.58,0.00,27.56,15881,0,6200,,,,,,,,
,,Spec Item,"Cushion, Port Side Settee, Flybridge",TRUE,,,Updated,,,NA,Flybridge,Fabrics,,CF,,,,Guess,3,25,75.0,33.33%,70.50,-7.50,27.50,5288,-563,2063,,,,,,,,
,,Spec Item,"Cushion, Starboard Side Settee, Flybridge",TRUE,,,Updated,,,NA,Flybridge,Fabrics,,CF,,,,Guess,3,25,75.0,33.33%,70.50,7.50,27.50,5288,563,2063,,,,,,,,
,,Spec Item,"Cushion, Port Helm Settee, Flybridge",TRUE,,,Updated,,,NA,Flybridge,Fabrics,,CF,,,,Guess,1,25,25.0,11.11%,65.25,-6.80,28.00,1631,-170,700,,,,,,,,
,,Spec Item,"Cushion, Starboard Helm Settee, Flybridge",TRUE,,,Updated,,,NA,Flybridge,Fabrics,,CF,,,,Guess,1,25,25.0,11.11%,65.25,6.80,28.00,1631,170,700,,,,,,,,
,,Spec Item,"Cushion, Sunpad over Hot Tub",TRUE,,,Updated,,,NA,Flybridge,Fabrics,,CF,,,,Guess,1,25,25.0,11.11%,81.75,0.00,27.00,2044,0,675,,,,,,,,
,,Spec Heading,Furniture,TRUE,,,Updated,,,,,,,,,,,SubItems,,,320.0,15.22%,69.62,0.00,27.84,22279,0,8910,,,,,,,,
,,Spec Item,"Table, Starboard Side of Flybridge",TRUE,,,Updated,,,NA,Flybridge,Furniture Assembly,,Each,,,,Guess,50,1,50.0,15.63%,70.30,5.40,28.10,3515,270,1405,,,,,,,,
,,Spec Item,"Table, Port Side of Flybridge",TRUE,,,Updated,,,NA,Flybridge,Furniture Assembly,,Each,,,,Guess,50,1,50.0,15.63%,70.30,-5.40,28.10,3515,-270,1405,,,,,,,,
,,Spec Item,"Helm Chair with 12"" High Back",TRUE,,,Updated,,,225846,Flybridge,Furniture Assembly,,Each,Crown,Admiral,,Guess,100,1,100.0,31.25%,65.30,0.00,28.00,6530,0,2800,,,,,,,White,
,,Spec Item,Bar Stools,TRUE,,,Updated,,,,Flybridge,Furniture Assembly,,Each,Crown,Admiral,,Guess,40,3,120.0,37.50%,72.66,0.00,27.50,8719,0,3300,,,,,,,White,
,,Spec Heading,Glass,TRUE,,,,,,,,,,,,,,SubItems,,,88.0,4.19%,60.85,0.00,29.75,5355,0,2618,,,,,,,,
,,Spec Item,Venturi,TRUE,,,Updated,,,,,Window Glass,,SF,,,,Guess,1.1,80,88.0,100.00%,60.85,0.00,29.75,5355,0,2618,,,,,,,,
,,Spec Heading,Mast & Hardtop,,,,,,,,,,,,,,,,,,,,,,,,,,4383-702-02,,,,,,,
,702-02,Spec Heading,Boat Deck,TRUE,,,,,,,,,,,,,,,,,180.0,3.23%,93.83,-6.11,22.31,16889,-1100,4015,,,,,,,,
,,Spec Heading,Boat Deck Rough In,TRUE,,,,,,,,,,,,,,SubItems,,,175.0,97.22%,93.43,-6.29,22.29,16350,-1100,3900,,,,,,,,
,,Spec Heading,Boat Deck Coverings and Fittings,TRUE,,,,,,,,,,,,,,SubItems,,,75.0,42.86%,98.00,-2.00,22.00,7350,-150,1650,,,,,,,,
,,Spec Item,Tiedowns,TRUE,,,,,,NA,Boat Deck,TBD,,Each,TBD,,,Guess,3,25,75.0,100.00%,98.00,-2.00,22.00,7350,-150,1650,,,,,,,,
,,Spec Heading,FRP Sub Assemblies,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spec Heading,Hydraulic System Rough In. Boat Deck,TRUE,,,,,,,,,,,,,,SubItems,,,100.0,57.14%,90.00,-9.50,22.50,9000,-950,2250,,,,,,,,
,,Spec Item,Davit Control Manifold (Hydraulics),TRUE,,,,,,NA,Boat Deck,,TBD,Each,,,,Guess,100,1,100.0,100.00%,90.00,-9.50,22.50,9000,-950,2250,,,,,,,,
,,Spec Heading,Boat Deck Finish,TRUE,,,,,,,,,,,,,,SubItems,,,5.0,2.78%,107.75,0.00,23.00,539,0,115,,,,,,,,
,,Spec Heading,Miscellaneous Accessories,TRUE,,,,,,,,,,,,,,SubItems,,,5.0,100.00%,107.75,0.00,23.00,539,0,115,,,,,,,,
,,Spec Item,Flag Pole with Socket,TRUE,,Brian,,WP 3800,Sideways,226675,Boat Deck,TBD,,Each,TBD,TBD,,Guess,5,1,5.0,100.00%,107.75,0.00,23.00,539,0,115,,,No,,,,,
,,Design Heading,Exterior Freestanding Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,702-02-01,,,,,,,
,,Design Heading,Exterior Fixed Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,702-02-02,,,,,,,
,,Design Heading,Storage Lockers and Built in Cabinets,,,,,,,,,,,,,,,,,,,,,,,,,,702-02-03,,,,,,,
,702-03,Spec Heading,Bridge Deck Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Design Heading,Exterior Freestanding Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,702-03-01,,,,,,,
,,Design Heading,Exterior Fixed Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,702-03-02,,,,,,,
,,Design Heading,Storage Lockers and Built in Cabinets,,,,,,,,,,,,,,,,,,,,,,,,,,702-03-03,,,,,,,
,702-04,Spec Heading,Main Deck Aft,TRUE,,Chris,Updated,,,,,,,,,,,,,,1286.5,23.07%,100.91,-3.12,14.12,129823,-4015,18161,,11/12/17,,,,,,
,,Design Heading,Exterior Freestanding Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,702-04-01,,,,,,,
,,Design Heading,Exterior Fixed Furniture,,,,,,,,,,,,,,,,,,,,,,,,,,702-04-02,,,,,,,
,,Design Heading,Storage Lockers and Built in Cabinets,,,,,,,,,,,,,,,,,,,,,,,,,,702-04-03,,,,,,,
,,Drawings / Deliverables,3D modeling,,,,,,,,,,,,,,,,,,,,,,,,,,,11/12/17,,,,,,
,,Spec Heading,Main Deck Aft Rough In,TRUE,,Chris,Updated,,,,,,,,,,,SubItems,,,250.0,19.43%,98.25,-8.50,15.90,24563,-2125,3975,,,,,,,,
,,Spec Item,"Bar, Aft Deck",TRUE,,Chris,Updated,,,103594-01,Main Deck Aft,TBD,,Each,,,,Guess,250,1,250.0,100.00%,98.25,-8.50,15.90,24563,-2125,3975,,,,,,,,
,,Spec Heading,"Main Deck Aft, Finish",TRUE,,Chris,Updated,,,,,,,,,,,SubItems,,,1036.5,80.57%,101.55,-1.82,13.69,105261,-1890,14186,,,,,,,,
,,Spec Item,Teak Decking,TRUE,,Chris,Updated,New,Down,NA,Main Deck Aft,Exterior Decking,,Sq. Ft.,,,,Guess,2,231,462.0,44.57%,98.00,-0.20,13.80,45276,-92,6376,,,,,,,,
,,Spec Item,Chair,TRUE,,Chris,Updated,WP 3800,Sideways,NA,Main Deck Aft,Furniture Assembly,,Each,,,,Guess,20,4,80.0,7.72%,101.00,0.00,15.00,8080,0,1200,,,No,,,,,
,,Spec Item,Table,TRUE,,Chris,Updated,New,Sideways,NA,Main Deck Aft,Furniture Assembly,,Each,,,,Guess,40,1,40.0,3.86%,103.70,0.00,15.50,4148,0,620,,,,,,,,
,,Spec Item,"Cushion, Aft Deck Settee",TRUE,,Chris,Updated,New,Sideways,,Main Deck Aft,Fabrics,,CF,,,,Guess,3,20,60.0,5.79%,106.00,0.00,16.00,6360,0,960,,,,,,,,
,,Spec Item,"Lifering, G-Series, White, 24""",TRUE,,Chris,Updated,WP 3800,Sideways,225850,Main Deck Aft,TBD,,Each,Jim Buoy,GW-24,http://www.jimbuoy.com/pages/marine/liferings.htm,Manufacturer,3.5,1,3.5,0.34%,90.50,-7.30,17.00,317,-26,60,,,No,,,,,
,,Spec Item,"Television, Aft Deck",TRUE,,Chris,Updated,WP 3800,Sideways,NA,Main Deck Aft,A/V,,Each,,,,Guess,50,1,50.0,4.82%,97.50,-9.00,19.50,4875,-450,975,,,No,,,,,
,,Spec Item,Sink,TRUE,,Chris,Updated,WP 3800,Sideways,NA,Main Deck Aft,Plumbing Fixtures,,Each,,,,Guess,25,1,25.0,2.41%,97.00,-8.70,16.00,2425,-218,400,,,No,,,,,
,,Spec Item,Refrigerator,TRUE,,Chris,Updated,WP 3800,Sideways,NA,Main Deck Aft,Appliances,,Each,Subzero,UC-24RO,https://www.subzero-wolf.com/trade-resources/product-specifications/product-specifications-detail/24-inch-outdoor-undercounter-refrigerator-stainless-door,Manufacturer,130,1,130.0,12.54%,99.60,-8.50,15.50,12948,-1105,2015,,,No,,,,,
,,Spec Item,"Teak Decking, including aft steps",TRUE,,Chris,Updated,New,Down,NA,Swim Platform,Exterior Decking,,Sq. Ft.,,,,Guess,2,93,186.0,17.95%,112.00,0.00,8.50,20832,0,1581,,,,,,,,
,702-05,Spec Heading,Main Deck Forward,TRUE,,Chris,Updated,,,,,,,,,,,,,,858.2,15.39%,9.78,0.00,15.63,8393,0,13409,,,,,,,,
,,Spec Heading,Foredeck Rough In,TRUE,,Chris,Updated,,,,,,,,,,,SubItems,,,560.2,65.27%,6.36,0.00,15.73,3562,0,8812,,,,,,,,
TRUE,,Spec Item,"Non Skid, Foredeck",TRUE,,Chris,Updated,WP 3800,Down,NA,Foredeck,Exterior Decking,,SF,,,,Guess,1,25,25.0,4.46%,6.50,0.00,16.50,163,0,413,,,,,,,,
,,Spec Item,"Burgee Staff, Foredeck",TRUE,,Chris,Updated,WP 3800,Sideways,NA,Foredeck,TBD,,Each,,,,Guess,30,1,30.0,5.36%,0.50,0.00,19.00,15,0,570,,,,,,,,
,,Spec Item,"Fender, Inflatable with Pump, Foredeck",TRUE,,Chris,Updated,WP 3800,Sideways,201391,Foredeck,TBD,TBD,Each,,,,Guess,30,4,120.0,21.42%,6.70,0.00,15.50,804,0,1860,,,,,,,,
,,Spec Item,"Boatswain Locker FRP, Foredeck",TRUE,,Chris,Updated,WP 3800,Down,NA,Foredeck,FRP Assembly,,SF,,,,Guess,3.629,40,145.2,25.91%,6.70,0.00,15.50,973,0,2250,,,,,,,,
,,Spec Item,"Dockline, 1"" Double Braided Black 68 ft each, Foredeck",TRUE,,Chris,Updated,WP 3800,Sideways,205802,Foredeck,Provisioning,,Each,,,,Guess,6,40,240.0,42.84%,6.70,0.00,15.50,1608,0,3720,,,,,,,,
,,Spec Heading,Foredeck Finish,TRUE,,Chris,Updated,,,,,,,,,,,SubItems,,,298.0,34.73%,16.21,0.00,15.42,4831,0,4597,,,,,,,,
,,Spec Item,"Miscellaneous Electronics & Accessories, Foredecl",TRUE,,Chris,Updated,WP 3800,Down,NA,Foredeck,Miscellaneous Electronics / Accessories,,Each,,,,Guess,30,1,30.0,10.07%,18.00,0.00,16.50,540,0,495,,,,,,,,
,,Spec Item,"Exterior Cushions, Settee, Foredeck",TRUE,,Chris,Updated,N/A,Down,,Foredeck,Fabrics,,CF,,,,Guess,3,30,90.0,30.20%,19.00,0.00,16.50,1710,0,1485,,,,,,,,
,,Spec Item,Teak Decking,TRUE,,Chris,Updated,N/A,Down,NA,Foredeck,Exterior Decking,,SF,,,,SolidWorks,2,89,178.0,59.73%,14.50,0.00,14.70,2581,0,2617,,,,,,,,
,,Spec Heading,Side Deck Port Finish,TRUE,,Chris,Updated,,,,,,,,,,,SubItems,,,230.0,4.12%,57.30,-10.77,14.20,13180,-2478,3267,,,,,,,,
,,Spec Item,"Boarding Gate, FRP, Side Deck Port",TRUE,,Chris,Updated,WP 3800,Sideways,,"Side Deck, Port",TBD,,,Westport Shipyard,TBD,,Guess,50,1,50.0,21.74%,56.60,-11.75,15.30,2830,-588,765,,,No,,,,,
,,Spec Item,Teak Decking,TRUE,,Chris,Updated,New,Down,NA,"Side Deck, Port",Exterior Decking,,SF,,,,Guess,2,90,180.0,78.26%,57.50,-10.50,13.90,10350,-1890,2502,,,,,,,,
,,Spec Heading,Side Deck Stbd,TRUE,,Chris,Updated,,,,,,,Each,,,,SubItems,,,230.0,4.12%,57.30,10.77,14.20,13180,2478,3267,,,,,,,,
,,Spec Item,"Boarding Gate, FRP, Side Deck Stbd",TRUE,,Chris,Updated,WP 3800,Sideways,,"Side Deck, STBD",TBD,,,Westport Shipyard,TBD,,,50,1,50.0,21.74%,56.60,11.75,15.30,2830,588,765,,,No,,,,,
,,Spec Item,Teak Decking,TRUE,,Chris,Updated,New,Down,NA,"Side Deck, Port",Exterior Decking,,SF,,,,Guess,2,90,180.0,78.26%,57.50,10.50,13.90,10350,1890,2502,,,,,,,,
TRUE,704,Heading,Exterior Overhead Systems,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,704-00,Spec Heading,Exterior Overhead Systems Primary Features and Components,,,,,,,,,,,,,,,,,,,,,,,,,,704-00,,,,,,,
,704-01,,Fixed Overhead Panels - In Structural Weight Heading 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,704-02,,Removable Overheads Panels - In Structural Weight Heading 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,704-00,Design Heading,Exterior Overhead System Design,,,,,,,,,,,,,,,,,,,,,,,,,,704-00,,,,,,,
,,Drawings / Deliverables,Exterior Overhead System Typical Details,,,,,,,,,,,,,,,,,,,,,,,,,,704-01,,,,,,,
,,3D models,3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,704-02,,,,,,,
,,Drawings / Deliverables,Exterior Overheads A&D,,,,,,,,,,,,,,,,,,,,,,,,,,704-03,,,,,,,
,,Drawings / Deliverables,Cut Files (For Fabricated parts),,,,,,,,,,,,,,,,,,,,,,,,,,704-04,,,,,,,
,,Drawings / Deliverables,Spool Paths for Piping (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,704-05,,,,,,,
,,Drawings / Deliverables,As Built Drawings (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,704-06,,,,,,,
,,Weight Estimate,Exterior Overhead System Weight Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,704-07,,,,,,,
TRUE,705,Heading,Exterior Railings Rail Caps & Stairs,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,705-00,Spec Heading,Exterior Railings Rail Caps and Stairs Primary Features and Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,705-01,Specifications,Fixed Railings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,705-02,Specifications,Removable Railings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,705-03,Specifications,Stairway Railings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,705-04,Specifications,Stairs (non built-in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,705-05,Specifications,Swim Grid Staples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,705-00,Design Heading,Exterior Railings Rail Caps and Stairs Design,,,,,,,,,,,,,,,,,,,,,,,,,,705-00,,,,,,,
,,Drawings / Deliverables,"Exterior Railings, Rail Caps and Stair Rails Typical Details",,,,,,,,,,,,,,,,,,,,,,,,,,705-01,,,,,,,
,,3D models,3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,705-02,,,,,,,
,,Drawings / Deliverables,Exterior Stairs A&D,,,,,,,,,,,,,,,,,,,,,,,,,,705-03,,,,,,,
,,Drawings / Deliverables,Exterior Handrails and Rail Caps Foundations and Fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,705-04,,,,,,,
,,Drawings / Deliverables,Cut Files (For Fabricated parts),,,,,,,,,,,,,,,,,,,,,,,,,,705-05,,,,,,,
,,Drawings / Deliverables,As Built Drawings (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,705-06,,,,,,,
,,Weight Estimate,Exterior Railings Rail Caps System Weight Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,705-07,,,,,,,
,706,Heading,Exterior Deck Coverings & Waterways,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,706-00,Spec Heading,Exterior Deck Coverings and Waterways Primary Features and Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,706-01,Specifications,Decking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,706-02,Specifications,Waterways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,706-03,Specifications,Non-Skid Painted Surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,706-04,Specifications,Stair Treads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,706-00,Design Heading,Exterior Deck Coverings and Waterways Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Drawings / Deliverables,Exterior Deck Coverings and Waterways Typical Details,,,,,,,,,,,,,,,,,,,,,,,,,,4383-705-01,,,,,,,
,,3D models,3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,4383-705-02,,,,,,,
,,Drawings / Deliverables,Exterior Deck Coverings and Waterways A&D,,,,,,,,,,,,,,,,,,,,,,,,,,4383-705-03,,,,,,,
,,Drawings / Deliverables,Cut Files (For Fabricated parts),,,,,,,,,,,,,,,,,,,,,,,,,,4383-705-04,,,,,,,
,,Drawings / Deliverables,As Built Drawings (If Required),,,,,,,,,,,,,,,,,,,,,,,,,,4383-705-05,,,,,,,
,,Weight Estimate,Exterior Deck Coverings and Waterways Weight Estimate,,,,,,,,,,,,,,,,,,,,,,,,,,4383-705-06,,,,,,,
,707,Heading,Windscreen System,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,707-00,Spec Heading,Windscreen System Primary Features and Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,707-01,Specifications,Windscreen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,707-02,Specifications,Wing Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,707-00,Design Heading,Windscreen System Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Drawings / Deliverables,Windscreen System Typical Details,,,,,,,,,,,,,,,,,,,,,,,,,,707-01,,,,,,,
,,3D models,3D modelling,,,,,,,,,,,,,,,,,,,,,,,,,,707-02,,,,,,,
,,Drawings / Deliverables,Windscreens A&D,,,,,,,,,,,,,,,,,,,,,,,,,,707-03,,,,,,,
,,Drawings / Deliverables,Cut Files (For Fabricated parts),,,,,,,,,,,,,,,,,,,,,,,,,,707-04,,,,,,,
