Check Item,GCMNA Code,Sorting Nature of Info Produced,Features,Selected Item,GCMNA Scope,GCMNA Point Person,Update Status,History,Places to reduce from 38 Meter,Builder  ID Number,Location,Category,Electrical,Unit Measurement (Feet),Preferred MFG.,Model,Hyperlink,Source,Weight Per Unit (LBS),Quantity,Weight Total (LBS),% of Parent Weight,LCG,TCG,VCG,Longitudinal Moment,Transverse Moment (Port is Neg.),Vertical Moment,Document Number,Start Date,3D Model In Library,End Date,Duration,Predecessors,Material / Color,Size
,,Spec Item,"Knit Fabric, 0/90, E-Glass, E-2LTI 3600 (12X)",,,Gord,Updated,WP-3800,Down,100909-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Knit Fabric, E-Glass, 45/45, E-BX 2800 (1X)",,,Gord,Updated,WP-3800,Down,101426-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Item,"Unidirectional Fabric, E-Glass, E-LR 1708 (3X, Cap)",,,Gord,Updated,WP-3800,Down,101977-01,,Laminate,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,,
,,Spec Heading,Stiffener 2 Port,,,,,,,STFNR 2 PORT,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Heading,Core,,,,,,,,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
,,Spec Item,"Structural Core, Polyfoam (6"" Thick)",,,Gord,Updated,WP-3800,Down,100937-01,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,Polyfoam,"6"""
,,Spec Item,"Structural Core, Polyfoam (2-1/2"" Chamfer Strip (Engineroom Only)",,,Gord,Updated,WP-3800,Down,100937-01,,Core,N/A,LF,,,,Manufacturer,,,,,,,,,,,,,,,,,Polyfoam,"2-1/2"""
,,Spec Item,"Structural Core, X-Linked PVC, 5#, 1"" (Engineroom Only)",,,Gord,Updated,WP-3800,Down,101317-02,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,X-Link PVC,"1"""
,,Spec Item,"Structural Core, Polyurethane, 20#, 2"" (4"" Thick Cap Engineroom Only)",,,Gord,Updated,WP-3800,Down,100918-04,,Core,N/A,SF,,,,Manufacturer,,,,,,,,,,,,,,,,,Polyurethane,"2"""
,,Spec Heading,Laminate Schedule 9,,,,,,,STFNR 2P LAM SCH 9,,,,,,,,SubItems,,,,,,,,,,,,,,,,,,
